time,lat,lon,elevation,horz_distance,vert_speed_mph,horz_speed_mph,vert_speed_km,horz_speed_km,dive_angle
691.0,56.1832383,9.0441948,5.0787401574599755,72535.6966158026,-0.17895488,0.11406180314658192,-0.28800000000000003,0.1835647024893403,-57.48748268382999
691.2,56.1832382,9.0441948,4.914698162709982,72535.73314636562,0.04473872,0.0500194095731647,0.07200000000000001,0.08049844718999243,41.810314895778596
691.4,56.1832381,9.0441948,4.809711286069984,72535.76967693094,0.08947744,0.09223123405746668,0.14400000000000002,0.1484318025222358,44.131749212031046
691.6,56.183238,9.0441947,4.655511811004999,72535.81150449881,0.06710808,0.1000388191463294,0.108,0.16099689437998485,33.854514812620515
691.8,56.183238,9.0441946,4.4652230970949915,72535.8318776099,0.26843232,0.21103212017618173,0.432,0.3396233207540378,51.82680666196614
692.0,56.183238,9.0441944,4.37664041992997,72535.87262383245,0.04473872,0.13043466207847668,0.07200000000000001,0.20991426821443082,18.931823180865184
692.2,56.1832379,9.0441943,4.330708661399996,72535.91445140356,-0.06710808,0.02236936,-0.108,0.036000000000000004,-71.56505117707799
692.4,56.1832377,9.0441949,4.124015748014983,72536.05686004207,0.17895488,0.6624503830416427,0.28800000000000003,1.066110688437181,15.117094246373675
692.6,56.1832376,9.0441954,3.9960629921099837,72536.16507775556,0.20132424,0.26086932415695335,0.324,0.41982853642886164,37.658935876115976
692.8,56.1832375,9.0441956,3.868110236204984,72536.21980194486,-0.02236936,0.08947744,-0.036000000000000004,0.14400000000000002,-14.036243467926479
693.0,56.1832376,9.0441955,3.9895013123199874,72536.26162951792,0.0,0.13043466207847668,0.0,0.20991426821443082,0.0
693.2,56.1832377,9.0441952,4.110892388434991,72536.33283383574,0.0,0.2500970478658235,0.0,0.4024922359499622,0.0
693.4,56.1832379,9.0441949,4.2486876640249704,72536.42808876363,-0.06710808,0.3906640774078518,-0.108,0.6287129710766274,-9.747110129297594
693.6,56.1832383,9.0441949,4.274934383184984,72536.57421101451,0.22369360000000002,0.22369360000000002,0.36000000000000004,0.36000000000000004,45.0
693.8,56.1832384,9.044195,4.373359580034986,72536.61603858534,0.06710808,0.09490515688081866,0.108,0.15273506473629428,35.264389682754654
694.0,56.1832388,9.0441949,4.520997375310003,72536.76357425957,0.17895488,0.49212592,0.28800000000000003,0.792,19.98310652189998
694.2,56.1832391,9.0441951,4.603018372685,72536.88049557006,0.26843232,0.26936276410705323,0.432,0.4334974048365226,44.900872155972706
694.4,56.1832392,9.0441952,4.806430446174971,72536.92232314087,0.17895488,0.13043466207847668,0.28800000000000003,0.20991426821443082,53.91285293426875
694.6,56.1832395,9.0441954,4.737532808379967,72537.03924445012,0.31317104,0.21221438220079242,0.5040000000000001,0.34152598729818495,55.87721871524818
694.8,56.1832398,9.0441953,4.819553805754964,72537.15071373705,0.17895488,0.24092538046024461,0.28800000000000003,0.3877318661136844,36.60427644270565
695.0,56.1832401,9.0441954,4.957349081344972,72537.26218302167,0.24606296,0.3613880706903669,0.396,0.5815977991705265,34.25027957983469
695.2,56.1832406,9.0441953,4.963910761134997,72537.44596853032,0.35790976,0.8252444674930367,0.5760000000000001,1.3281024056901638,23.446449771070096
695.4,56.1832411,9.0441951,5.141076115464983,72537.63311099896,-0.04473872,0.20256317009364558,-0.07200000000000001,0.32599386497294697,-12.454576368475026
695.6,56.1832412,9.0441952,5.272309711264995,72537.67493857128,0.22369360000000002,0.03163505229360622,0.36000000000000004,0.05091168824543142,81.95053302447161
695.8,56.183241,9.0441945,5.337926509164987,72537.83517603292,0.40264848,1.2037958384545953,0.648,1.9373218627786146,18.494179624736507
696.0,56.1832407,9.0441936,5.475721784754995,72538.04878897745,0.22369360000000002,0.6959711504593368,0.36000000000000004,1.1200571413994913,17.818037345541303
696.2,56.1832403,9.0441927,5.557742782129992,72538.28324977015,0.62634208,1.2795586774357053,1.0080000000000002,2.059250349034813,26.081679805986766
696.4,56.1832401,9.0441918,5.8562992125749815,72538.48062778509,-0.40264848,0.5502135053048116,-0.648,0.8854829190899167,-36.19681745864012
696.6,56.1832403,9.0441913,6.043307086590005,72538.60598534762,-0.51449528,0.5026888448522088,-0.8280000000000001,0.8089993819527924,-45.66500106817749
696.8,56.1832408,9.044191,6.299212598399976,72538.79859277747,-0.13421616,0.5303001093220661,-0.216,0.8534354105613382,-14.203005936866075
697.0,56.1832412,9.0441909,6.473097112835006,72538.94612845269,-0.22369360000000002,0.1703599702833879,-0.36000000000000004,0.2741678318111007,-52.70792426473899
697.2,56.1832414,9.044191,6.7847769028599885,72539.0219769314,-0.40264848,0.14147625480052828,-0.648,0.2276839915321233,-70.64035133887973
697.4,56.1832415,9.0441915,6.945538057714998,72539.13019463654,-0.06710808,0.37230034905471043,-0.108,0.5991594111753566,-10.217987951656463
697.6,56.1832415,9.0441918,7.030839894985007,72539.1913139646,-0.02236936,0.0500194095731647,-0.036000000000000004,0.08049844718999243,-24.094842552110702
697.8,56.1832418,9.0441918,7.211286089210006,72539.3009056525,-0.04473872,0.06327010458721244,-0.07200000000000001,0.10182337649086284,-35.264389682754654
698.0,56.1832417,9.0441919,7.38517060364498,72539.3427332174,-0.13421616,0.5105901360267369,-0.216,0.8217152791569597,-14.727854779631977
698.2,56.1832418,9.044192,7.467191601019977,72539.38456078248,-0.13421616,0.38027911999999997,-0.216,0.612,-19.44003482817619
698.4,56.1832419,9.044192,7.536089238814981,72539.42109134201,0.15658552,0.33027964237066265,0.25200000000000006,0.5315336301684025,25.365621765161926
698.6,56.1832419,9.0441923,7.516404199444992,72539.48221066945,0.20132424,0.19112389562035617,0.324,0.30758413483143116,46.4888722231212
698.8,56.183242,9.0441925,7.627952755874986,72539.536934855,0.02236936,0.18981031376163732,0.036000000000000004,0.30547012947258856,6.721369339369457
699.0,56.1832422,9.0441927,7.627952755874986,72539.62058999695,0.02236936,0.0500194095731647,0.036000000000000004,0.08049844718999243,24.094842552110702
699.2,56.1832423,9.0441927,7.791994750625008,72539.65712055881,0.02236936,0.15817526146803113,0.036000000000000004,0.25455844122715715,8.049466975528395
699.4,56.1832423,9.0441938,7.913385826739983,72539.88122475719,-0.02236936,1.417059672246347,-0.036000000000000004,2.280536778918507,-0.9043821510067664
699.6,56.183242,9.044195,7.864173228314996,72540.14914170843,0.24606296,0.43948819209224,0.396,0.7072877773579861,29.24382136538232
699.8,56.1832419,9.0441955,7.775590551149975,72540.25735941311,0.08947744,0.18034754598447966,0.14400000000000002,0.2902412789387478,26.387799961242997
700.0,56.1832417,9.0441957,7.69685039366999,72540.34101454592,-0.15658552,0.06327010458721244,-0.25200000000000006,0.10182337649086284,-67.99828632555018
700.2,56.1832417,9.0441956,7.723097112830004,72540.36138765505,0.0,0.38485702147114537,0.0,0.6193674192270692,0.0
700.4,56.1832417,9.0441953,7.677165354299973,72540.4225069828,-0.11184680000000001,0.1500582287194941,-0.18000000000000002,0.24149534156997732,-36.699225200489884
700.6,56.1832419,9.0441957,7.654199475035,72540.5319553459,0.04473872,0.8396708092667784,0.07200000000000001,1.3513193552968892,3.049907475148012
700.8,56.1832424,9.0441968,7.62139107608499,72540.82106560537,-0.22369360000000002,1.249684672512535,-0.36000000000000004,2.011172792178733,-10.148468343680918
701.0,56.1832427,9.0441968,7.539370078709965,72540.93065729675,-0.02236936,0.8703952182484312,-0.036000000000000004,1.4007655050007477,-1.4721908180095757
701.2,56.1832427,9.0441962,7.568897637764991,72541.05289594906,-0.04473872,0.14323379119186086,-0.07200000000000001,0.23051247254758256,-17.346065292669948
701.4,56.1832425,9.0441961,7.454068241439984,72541.12874442982,0.02236936,0.22144536605524354,0.036000000000000004,0.35638181771802,5.7681811861882215
701.6,56.1832422,9.0441958,7.431102362175011,72541.25422713436,0.0,0.3414534612017234,0.0,0.5495161508090549,0.0
701.8,56.1832418,9.0441955,7.381889763749996,72541.41261679538,0.0,0.39130398623543,0.0,0.6297428046432925,0.0
702.0,56.1832414,9.0441954,7.42782152227997,72541.56015247176,-0.24606296,0.1360675048347518,-0.396,0.2189794510907359,-61.05835345223224
702.2,56.1832409,9.0441964,7.3753280839599995,72541.83377339525,-0.22369360000000002,1.2504852393291175,-0.36000000000000004,2.012461179749811,-10.142106156573984
702.4,56.1832405,9.0441971,7.4146981626999775,72542.03795426605,-0.13421616,0.14147625480052828,-0.216,0.2276839915321233,-43.491519345092
702.6,56.1832404,9.0441968,7.463910761124993,72542.10915858064,-0.29080168,0.38027911999999997,-0.468,0.612,-37.40535663140856
702.8,56.1832404,9.0441963,7.401574803119985,72542.21102413046,-0.13421616,0.5265122029094088,-0.216,0.8473393653076671,-14.30100979620047
703.0,56.1832403,9.0441963,7.3982939632249725,72542.24755469347,-0.22369360000000002,0.3809364741984994,-0.36000000000000004,0.6130579091733505,-30.42231728685852
703.2,56.1832401,9.0441967,7.431102362175011,72542.35700306478,-0.15658552,0.1703599702833879,-0.25200000000000006,0.2741678318111007,-42.58751402570322
703.4,56.1832404,9.0441969,7.647637795244975,72542.47392437588,0.02236936,0.28295250960105656,0.036000000000000004,0.4553679830642466,4.520227592644634
703.6,56.1832406,9.0441969,7.926509186319976,72542.54698549844,-0.13421616,0.11406180314658192,-0.216,0.1835647024893403,-49.64089954333876
703.8,56.1832408,9.044197,8.093832020964982,72542.62283397732,-0.06710808,0.08065387447931315,-0.108,0.1297998459167036,-39.76215915180505
704.0,56.1832409,9.0441969,8.218503936974969,72542.66466154567,0.08947744,0.0500194095731647,0.14400000000000002,0.08049844718999243,60.79406775260058
704.2,56.1832411,9.0441967,8.38254593172499,72542.74831668395,-0.02236936,0.34726585248353115,-0.036000000000000004,0.5588702890653608,-3.6856535095256104
704.4,56.1832414,9.0441966,8.569553805739986,72542.85978597193,-0.08947744,0.0500194095731647,-0.14400000000000002,0.08049844718999243,-60.79406775260058
704.6,56.1832414,9.0441964,8.772965879229986,72542.90053219051,-0.06710808,0.1500582287194941,-0.108,0.24149534156997732,-24.094842552110702
704.8,56.1832414,9.0441962,8.92716535429497,72542.94127840945,-0.15658552,0.1747102866902393,-0.25200000000000006,0.2811689883326396,-41.86854343693031
705.0,56.1832414,9.044196,9.15354330705,72542.98202462838,-0.24606296,0.11184680000000001,-0.396,0.18000000000000002,-65.55604521958347
705.2,56.1832414,9.0441959,9.25853018368997,72543.00239773767,0.02236936,0.23778955853755396,0.036000000000000004,0.3826852492584474,5.374117929017665
705.4,56.1832414,9.0441958,9.370078740119965,72543.02277084696,0.11184680000000001,0.1703599702833879,0.18000000000000002,0.2741678318111007,33.28618674564031
705.6,56.1832412,9.0441967,9.386482939594998,72543.22014885703,0.04473872,1.16320672,0.07200000000000001,1.872,2.2025981617658057
705.8,56.183241,9.0441974,9.501312335920005,72543.38038631836,0.11184680000000001,0.34726585248353115,0.18000000000000002,0.5588702890653608,17.85262394652688
706.0,56.1832408,9.0441975,9.412729658754984,72543.456234796,0.11184680000000001,0.12654020917442488,0.18000000000000002,0.2036467529817257,41.4729343089405
706.2,56.1832406,9.0441975,9.31102362200997,72543.52929592204,-0.06710808,0.1703599702833879,-0.108,0.2741678318111007,-21.500437614444216
706.4,56.1832406,9.0441973,9.245406824109978,72543.57004214147,0.0,0.294222993931577,0.0,0.4735060717667727,0.0
706.6,56.1832408,9.0441973,9.124015747995003,72543.6431032675,-0.17895488,0.3861550252285484,-0.28800000000000003,0.6214563540587545,-24.864306100150348
706.8,56.1832408,9.0441973,8.825459317549985,72543.6431032675,0.20132424,0.2500970478658235,0.324,0.4024922359499622,38.833525094636194
707.0,56.1832408,9.0441973,8.461286089205004,72543.6431032675,0.42501784000000004,0.12046269023012231,0.684,0.1938659330568422,74.17569367024377
